n,micros,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mx_ut,my_ut,mz_ut
119.0,3253520653.0,-0.02747,-0.45203,-0.88428,-0.1221,0.0,-0.1831,33.0,10.0,-8.0
120.0,3253536682.0,-0.0282,-0.45264,-0.88416,-0.1221,-0.061,-0.1831,33.0,10.0,-8.0
121.0,3253553480.0,-0.02832,-0.4541,-0.88477,-0.061,0.0,-0.2441,32.0,11.0,-13.0
122.0,3253567999.0,-0.02905,-0.45386,-0.88525,-0.1221,0.0,-0.2441,32.0,11.0,-13.0
123.0,3253583853.0,-0.02832,-0.45215,-0.88354,-0.1221,-0.061,-0.2441,32.0,11.0,-13.0
124.0,3253598044.0,-0.02856,-0.453,-0.88403,-0.061,-0.061,-0.2441,32.0,11.0,-13.0
125.0,3253611918.0,-0.02856,-0.45398,-0.88513,-0.061,-0.061,-0.2441,32.0,11.0,-13.0
126.0,3253625898.0,-0.02808,-0.45251,-0.88452,-0.1221,0.0,-0.2441,32.0,11.0,-13.0
127.0,3253640996.0,-0.02795,-0.45264,-0.88306,-0.1221,0.0,-0.2441,32.0,11.0,-13.0
128.0,3253656028.0,-0.02856,-0.45349,-0.88379,-0.061,0.0,-0.2441,32.0,11.0,-13.0
129.0,3253672803.0,-0.02808,-0.45349,-0.8833,-0.061,-0.061,-0.1831,32.0,8.0,-10.0
130.0,3253688039.0,-0.02771,-0.453,-0.88342,-0.061,0.0,-0.2441,32.0,8.0,-10.0
131.0,3253701947.0,-0.02759,-0.45288,-0.88403,-0.061,0.061,-0.3052,32.0,8.0,-10.0
132.0,3253717947.0,-0.02747,-0.453,-0.8844,-0.061,-0.061,-0.2441,32.0,8.0,-10.0
133.0,3253731857.0,-0.02795,-0.45251,-0.88391,-0.1221,-0.061,-0.2441,32.0,8.0,-10.0
134.0,3253744812.0,-0.02856,-0.453,-0.88428,-0.1221,0.0,-0.2441,32.0,8.0,-10.0
135.0,3253756750.0,-0.02905,-0.45227,-0.8855,-0.061,0.0,-0.2441,32.0,8.0,-10.0
136.0,3253769677.0,-0.02869,-0.4519,-0.88562,-0.061,0.0,-0.2441,32.0,8.0,-10.0
137.0,3253785994.0,-0.02747,-0.45288,-0.88379,-0.061,-0.1221,-0.2441,33.0,11.0,-13.0
138.0,3253799857.0,-0.02698,-0.45312,-0.88428,-0.1221,-0.061,-0.2441,33.0,11.0,-13.0
139.0,3253811926.0,-0.02771,-0.45312,-0.88525,-0.1831,0.0,-0.2441,33.0,11.0,-13.0
